Timestamp,File,Category,True_Algo,True_Keysize,Model,Tier,Response_Time_sec,Predicted_ALGO,Predicted_KEYSIZE,BREAKABLE,Accuracy_Binary,Notes,Mode
2026-03-21T15:24:36.260829,DES_1kb.bin,Classical-Sym,DES,56,Gemini-3-Flash-Blind,Tier-2-Blind,3.54,AES-256,0,UNKNOWN,0.0,ALGO: AES-256,BLIND
2026-03-21T15:24:39.771305,3DES_1kb.bin,Classical-Sym,3DES,168,Gemini-3-Flash-Blind,Tier-2-Blind,3.01,AES-256,0,UNKNOWN,0.0,ALGO: AES-256 KEYSIZE,BLIND
2026-03-21T15:24:43.413194,AES128_1kb.bin,Modern-Sym,AES-128,128,Gemini-3-Flash-Blind,Tier-2-Blind,3.14,AES-256,0,UNKNOWN,1.0,ALGO: AES-256 KEYSIZE,BLIND
2026-03-21T15:24:46.457159,AES256_1kb.bin,Modern-Sym,AES-256,256,Gemini-3-Flash-Blind,Tier-2-Blind,2.54,UNKNOWN,0,UNKNOWN,0.0,00 to 0xFF.         *,BLIND
2026-03-21T15:24:49.926908,ChaCha20_1kb.bin,Modern-Sym,ChaCha20,256,Gemini-3-Flash-Blind,Tier-2-Blind,2.97,AES-128,0,UNKNOWN,0.0,ALGO: AES-128 KEYSIZE:,BLIND
2026-03-21T15:24:53.532582,RSA2048_AES256_1kb.bin,Hybrid-Asym,RSA2048,2048,Gemini-3-Flash-Blind,Tier-2-Blind,3.1,AES-256,0,UNKNOWN,0.5,ALGO: AES-256 KEYSIZE:,BLIND
2026-03-21T15:24:57.298644,ML_KEM_768_1kb.bin,PQC,ML-KEM,768,Gemini-3-Flash-Blind,Tier-2-Blind,3.26,AES-256,0,UNKNOWN,0.0,ALGO: AES-256 KEY,BLIND
2026-03-21T15:25:00.448113,DES_1kb.bin,Classical-Sym,DES,56,Claude-Sonnet-4.5-Blind,Tier-3A-Blind,2.64,UNKNOWN,0,UNKNOWN,0.0,,BLIND
2026-03-21T15:25:04.319201,3DES_1kb.bin,Classical-Sym,3DES,168,Claude-Sonnet-4.5-Blind,Tier-3A-Blind,3.37,UNKNOWN,0,UNKNOWN,0.0,,BLIND
2026-03-21T15:25:08.186643,AES128_1kb.bin,Modern-Sym,AES-128,128,Claude-Sonnet-4.5-Blind,Tier-3A-Blind,3.36,UNKNOWN,0,UNKNOWN,0.0,,BLIND
2026-03-21T15:25:12.066722,AES256_1kb.bin,Modern-Sym,AES-256,256,Claude-Sonnet-4.5-Blind,Tier-3A-Blind,3.37,UNKNOWN,0,UNKNOWN,0.0,,BLIND
2026-03-21T15:25:15.312973,ChaCha20_1kb.bin,Modern-Sym,ChaCha20,256,Claude-Sonnet-4.5-Blind,Tier-3A-Blind,2.74,UNKNOWN,0,UNKNOWN,0.0,,BLIND
2026-03-21T15:25:18.836785,RSA2048_AES256_1kb.bin,Hybrid-Asym,RSA2048,2048,Claude-Sonnet-4.5-Blind,Tier-3A-Blind,3.02,UNKNOWN,0,UNKNOWN,0.0,,BLIND
